what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1624892519119
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1624892519119
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1624892519119
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1624892519120
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1624892519120
os,sysinfo,,,"win32",1624892519122
arch,sysinfo,,,"x86",1624892519122
ws,sysinfo,,,"win32",1624892519122
locale,sysinfo,,,"ru_RU",1624892519122
processors,sysinfo,,,"8",1624892519122
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1624892519122
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1624892519122
java.specification.name,sysinfo,,,"Java Platform API Specification",1624892519122
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1624892519122
java.specification.version,sysinfo,,,"1.6",1624892519122
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1624892519122
java.version,sysinfo,,,"1.6.0_20",1624892519122
java.vm.info,sysinfo,,,"mixed mode",1624892519122
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1624892519122
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1624892519122
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1624892519122
java.vm.specification.version,sysinfo,,,"1.0",1624892519122
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1624892519122
java.vm.version,sysinfo,,,"16.3-b01",1624892519122
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1624892519129
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1624892519294
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1624892519306
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1624892519434
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1624892519489
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1624892519499
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1624892520137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1624892520567
